Company,Code
흥국에프엔비,A189980
쎄노텍,A222420
칩스앤미디어,A094360
아시아경제,A127710
아이쓰리시스템,A214430
로지시스,A067730
켐트로스,A220260
파마리서치프로덕트,A214450
MP한강,A219550
펩트론,A087010
RFHIC,A218410
동운아나텍,A094170
민앤지,A214180
유테크,A178780
이큐셀,A160600
켐온,A217600
코아스템,A166480
세미콘라이트,A214310
베셀,A177350
넵튠,A217270
미래생명자원,A218150
싸이맥스,A160980
러셀,A217500
픽셀플러스,A087600
디딤,A217620
제노포커스,A187420
우정바이오,A215380
토박스코리아,A215480
이노인스트루먼트,A215790
우리산업,A215360
메가스터디교육,A215200
이디티,A215090
로보로보,A215100
디알텍,A214680
에이비프로바이오,A195990
골프존,A215000
클래시스,A214150
퓨쳐스트림네트웍스,A214270
포시에스,A189690
덕산네오룩스,A213420
국일신동,A060480
바디텍메드,A206640
썸에이지,A208640
와이제이엠게임즈,A193250
화이브라더스코리아,A204630
에이팩트,A200470
휴메딕스,A200670
바이오로그디바이스,A208710
서전기전,A189860
아스트,A067390
오킨스전자,A080580
지란지교시큐리티,A208350
NEW,A160550
아이티센,A124500
녹십자엠에스,A142280
디티앤씨,A187220
셀바스헬스케어,A208370
정다운,A208140
하이로닉,A149980
랩지노믹스,A084650
에이디테크놀로지,A200710
비씨월드제약,A200780
미스터블루,A207760
알테오젠,A196170
엔터메이트,A206400
SKC코오롱PI,A178920
대창스틸,A140520
에프엔씨엔터,A173940
휴마시스,A205470
텔콘RF제약,A200230
파티게임즈,A194510
지엘팜텍,A204840
글로벌텍스프리,A204620
디에이테크놀로지,A196490
액션스퀘어,A205500
엑셈,A205100
테고사이언스,A191420
슈피겐코리아,A192440
테라셈,A182690
영우디에스피,A143540
드림시큐리티,A203650
메디아나,A041920
데브시스터즈,A194480
프로스테믹스,A203690
감마누,A192410
고려시멘트,A198440
신화콘텍,A187270
파버나인,A177830
덕신하우징,A090410
창해에탄올,A004650
윈하이텍,A192390
아진엑스텍,A059120
콜마비앤에이치,A200130
트루윈,A105550
디오스텍,A196450
캐스텍코리아,A071850
나노,A187790
케이사인,A192250
오이솔루션,A138080
인터파크,A108790
한국정보인증,A053300
솔루에타,A154040
이지웰,A090850
SGA솔루션즈,A184230
기가레인,A049080
인트로메딕,A150840
알티캐스트,A085810
현대공업,A170030
엔브이에이치코리아,A067570
디엠티,A134580
큐브엔터,A182360
라이온켐텍,A171120
램테크놀러지,A171010
THE MIDONG,A161570
에이씨티,A138360
해성옵틱스,A076610
내츄럴엔도텍,A168330
테스나,A131970
파수,A150900
엘티씨,A170920
